Year,est,lwr,upr,log_est,se,type
2009,410898.093337201,224156.778231033,753210.518283461,12.9261005146495,0.30918911295973,index
2010,398992.914903233,222680.383471937,714905.119440125,12.8966989385796,0.297559638242151,index
2011,455743.350154369,252579.647119003,822322.79433057,13.0296851014402,0.301129609524626,index
2012,473250.115619825,248377.264508892,901715.671830985,13.0673793133818,0.328921970687393,index
2013,599753.361961867,310012.798569917,1160287.88760938,13.3042737862917,0.336692373012165,index
2014,351172.608053049,197939.273619356,623030.479963934,12.7690331424082,0.292514343726524,index
2015,399919.181698065,218230.217629341,732874.455368488,12.8990177599213,0.309042378318648,index
2016,332263.855242235,187001.408037029,590365.979910545,12.7136846769618,0.293277456156183,index
2017,526771.555467335,265969.787151523,1043307.4922581,13.1745222524568,0.348671842274371,index
2018,202881.823961307,109563.583564515,375681.710608066,12.2203789405361,0.314352005373522,index
2019,407624.561189952,187505.230534231,886150.121849358,12.9181018365868,0.396201064165441,index
2021,219409.269223897,113581.762949077,423839.41023127,12.2986940739887,0.335932621323982,index
2022,424345.379332371,225139.65930759,799810.222306148,12.9583029765259,0.323386952446444,index
2023,377859.718734438,209675.601902766,680946.975930368,12.8422782912626,0.300496046566875,index
2024,596167.92165652,327343.088458729,1085760.48599561,13.2982776541099,0.305879882898665,index
2003,756766.271870732,465732.901447297,1229664.44599777,13.5368097289597,0.24767911903853,index
2004,503206.081879936,308488.026641617,820830.434158563,13.1287550707022,0.24965599598867,index
2005,604421.514764943,371081.279874064,984488.809661133,13.3120271056448,0.248907994575449,index
2006,516129.491579485,322139.954294653,826937.635418044,13.1541129656538,0.240500130924653,index
2007,759774.612102725,482293.941698247,1196899.67318108,13.5407771052563,0.231875720235395,index
2008,596510.099435193,383140.521673901,928704.427225879,13.2988514515338,0.225868616378901,index
2009,561874.217956616,358487.74779387,880651.12056741,13.2390332923612,0.229281524443967,index
2010,665892.796070183,428017.12754152,1035970.72950113,13.4088839697044,0.225496734535393,index
2011,532118.755932473,334901.696812951,845473.083921899,13.1846219688497,0.236243955045509,index
2012,921867.547649875,567058.845695858,1498680.04328039,13.7341568345724,0.247932348137379,index
2013,973842.051495236,594097.969796206,1596316.41492694,13.7890044046853,0.25214998414343,index
2014,591172.366491687,385211.943724934,907253.195536786,13.2898629061362,0.218531536566175,index
2015,588215.650438666,381822.570111214,906173.910358948,13.2848489120902,0.220482423126794,index
2016,675176.31267959,408752.269559428,1115255.09985537,13.4227291397166,0.256058065381866,index
2017,652918.755093069,415940.968490677,1024912.02609641,13.3892079825901,0.230060021326509,index
2018,458061.587717898,286173.899060443,733192.016572851,13.0347589250557,0.240006441481537,index
2019,335248.662194642,171076.046185071,656969.038094973,12.7226278106651,0.343253429558197,index
2021,548647.169624164,333948.274137907,901378.267378916,13.2152108356052,0.253305391020618,index
2022,832537.789594428,507583.07691189,1365528.52652157,13.6322338927127,0.252462913485285,index
2023,992840.940668838,625051.859294225,1577042.15867979,13.8083257496017,0.236094057393211,index
2024,681518.231195965,398399.899570717,1165831.36680744,13.4320782813324,0.273916629568763,index
2003,502252.329749558,294221.369147295,857372.81241653,13.1268579212917,0.272846953431368,index
2004,766584.491654899,440652.876638831,1333593.43374366,13.5497002016886,0.282498805783113,index
2005,730449.847112974,457051.637167376,1167388.83696849,13.5014158522554,0.239220822855387,index
2006,662089.410142121,380845.652487706,1151023.73929946,13.4031558864369,0.282151320305281,index
2007,653838.826063059,394273.633643154,1084285.56715116,13.3906161567385,0.258073980884626,index
2008,741558.637630356,463349.357920122,1186813.37018059,13.5165095171777,0.239939570118313,index
2009,601861.597363246,370388.031466079,977994.296810351,13.3077827931466,0.247696553712449,index
2010,1004559.00029079,658524.009575447,1532425.19694283,13.8200591974911,0.215464641345891,index
2011,704898.197353261,437012.621881408,1136995.69246473,13.4658086704502,0.243928621922095,index
2012,773643.885067327,482129.27038723,1241419.87982051,13.5588669498826,0.241279636112697,index
2013,803771.051643066,485085.061860526,1331823.95059025,13.5970697459708,0.257652798792873,index
2014,1049856.73307245,667821.144363767,1650440.64459448,13.8641642681314,0.230814751184356,index
2015,857637.96284901,524658.109944026,1401947.02298278,13.6619373347007,0.250736864704082,index
2016,945171.76372861,581028.595316042,1537531.31971745,13.7591219505188,0.248252877258174,index
2017,770677.885283044,478145.034025762,1242184.61052205,13.5550257770285,0.243553655515297,index
2018,610512.024185781,353441.584465416,1054558.79573189,13.3220532679749,0.278872352073645,index
2019,832852.246050812,432718.213880088,1602989.75523156,13.6326115297268,0.334072215618298,index
2021,408232.324478842,240105.804085633,694084.140881335,12.9195917140689,0.270799240557748,index
2022,911251.883022238,519942.248986148,1597061.97357641,13.7225746287196,0.28628158904831,index
2023,769477.373469722,470969.140332792,1257185.19023026,13.5534668276309,0.25047346793839,index
2024,962331.721410957,585063.112957325,1582875.96931671,13.777114494961,0.253902364071159,index
2003,385101.525558652,229089.663805139,647358.691458669,12.8612622812562,0.265001568625687,index
2004,460077.560142503,277881.909962779,761731.346149991,13.0391503632578,0.25724903575528,index
2005,347368.280570361,215853.811604707,559011.311634294,12.7581408234115,0.24275148306586,index
2006,258545.566714918,157246.172224017,425102.939693233,12.4628272309549,0.253708436781734,index
2007,400739.763949666,253209.676805338,634226.78167981,12.9010675279114,0.234236110959331,index
2008,452085.29465266,269715.477214595,757765.611939911,13.0216261459956,0.263526909580138,index
2009,472022.224758733,291580.307792631,764129.039964662,13.0647813498124,0.245775232785471,index
2010,634013.526714513,402981.48298891,997497.82316434,13.3598255687036,0.231218369481988,index
2011,617062.472995011,379211.642867656,1004099.16926418,13.33272555059,0.248410583956577,index
2012,680936.465702428,418495.58881535,1107955.45452666,13.4312242851882,0.248373266364603,index
2013,719523.6389511,443100.00563035,1168391.47016696,13.4863446594621,0.247348366292355,index
2014,583908.274843514,363687.1584427,937478.449584702,13.2774991858505,0.241560491589078,index
2015,695480.509200262,432506.218000494,1118349.56018344,13.452358265798,0.24235459805096,index
2016,486908.975556547,301617.334645483,786030.255045479,13.095832476087,0.244350452755974,index
2017,601558.645029196,374020.921686241,967520.217259211,13.3072793076147,0.242459706501475,index
2018,501436.987961426,293424.627693205,856911.892067638,13.1252332313541,0.273401529540632,index
2019,476919.65848525,272723.872362906,834002.387392855,13.0751033248359,0.285152290292428,index
2021,332551.124600652,209472.412264352,527946.612528599,12.7145488854559,0.235821455460821,index
2022,496548.928349362,293750.743323344,839353.921135442,13.1154373041364,0.267836773214895,index
2023,514039.515646708,316645.877171478,834486.227980181,13.1500554201724,0.24720663352905,index
2024,771573.857124918,469964.726496823,1266746.59486949,13.5561876780568,0.252950952723773,index
2003,330989.217837931,208077.392461174,526505.359516209,12.7098410793209,0.236828693977441,index
2004,655236.890154643,381267.890609436,1126072.7504046,13.3927521135908,0.276277822383794,index
2005,512758.427258288,331771.9792139,792475.619391843,13.1475601112131,0.222124953472082,index
2006,339353.41971018,205374.617737459,560735.035018833,12.7347973793176,0.256232455918362,index
2007,345966.335485656,222383.075116317,538227.584211471,12.754096753022,0.225483743140677,index
2008,486518.73881629,326702.422971249,724514.012068481,13.0950306974744,0.20318010256911,index
2009,640915.550286695,422548.533933854,972131.505877145,13.3706529804008,0.21255155262478,index
2010,543971.953710201,360204.78770181,821492.374688406,13.2066529688293,0.210322724630563,index
2011,951080.434737818,632895.02126665,1429232.27857084,13.7653539170653,0.207806916905545,index
2012,598322.014570936,388214.423825162,922143.050721497,13.3018843739058,0.220703682637228,index
2013,636626.692493698,390088.592669212,1038978.20446943,13.3639387227244,0.24990743380437,index
2014,507767.284284422,331792.387972613,777075.135945731,13.1377785197976,0.217102869385497,index
2015,693015.300770075,472078.046234311,1017353.40360026,13.4488073569616,0.195874902243077,index
2016,671514.47399912,440984.894849987,1022555.86088433,13.41729084944,0.214557487257706,index
2017,335240.290309272,212295.936704369,529383.90621742,12.7226028381869,0.233099349624375,index
2018,579696.231053564,376703.834143522,892074.064129846,13.2702595057603,0.219924925810187,index
2019,657721.966543219,368865.151605725,1172781.3901376,13.3965375777635,0.295082546871379,index
2021,321380.510852437,213410.445680159,483975.526252209,12.6803810921534,0.208885739687905,index
2022,424489.994780963,258552.667127023,696924.760712742,12.9586437150352,0.252958230591975,index
2023,663604.220454113,435892.835595518,1010272.53820971,13.4054411972151,0.214437356160076,index
2024,706300.592705532,448988.001358007,1111077.63625606,13.4677961945663,0.231149528667848,index
2003,380982.573575274,224638.676805233,646138.605481039,12.8505089144152,0.269525567342018,index
2004,510115.267961383,298774.081359373,870951.005600505,13.1423919947734,0.272938183024303,index
2005,384757.446859816,247745.872389189,597540.905470778,12.8603684065751,0.224600869393857,index
2006,280055.370318005,155973.000427271,502849.917800531,12.5427426137369,0.298630189781701,index
2007,339830.856684138,214607.968500696,538120.797477753,12.7362032924672,0.234511988856354,index
2008,278209.400532542,170884.650864701,452939.864130681,12.5361293484561,0.24867053720273,index
2009,432929.939795727,278429.770021946,673161.970994549,12.9783311920359,0.225213351491161,index
2010,450430.784053256,290839.262388718,697594.573567798,13.0179597017252,0.223184545510006,index
2011,577469.777839587,359814.992590736,926785.573655633,13.2664113872634,0.241364699621768,index
2012,627170.379927972,385264.624350105,1020967.56514439,13.348973521023,0.248620796978742,index
2013,685515.107720527,432633.084550292,1086211.34096012,13.4379258167213,0.23484132993665,index
2014,421496.441869114,270078.688122463,657805.514916329,12.9515666147968,0.227094979956861,index
2015,468978.418723878,309641.531088591,710307.678868255,13.0583120308556,0.211810766976322,index
2016,470462.279947128,298735.21324482,740906.150463289,13.0614710646495,0.231717614529537,index
2017,337091.366268203,204273.837590428,556265.99349641,12.7281092891119,0.255562132386823,index
2018,484758.827550598,300251.959186357,782646.419776995,13.0914067834612,0.24440730652974,index
2019,236323.363287532,120037.08414268,465262.318177835,12.3729563295848,0.345618759519479,index
2021,264974.82540658,161646.547074086,434352.97177779,12.48739010199,0.252159061834629,index
2022,399817.600745279,226938.05577627,704395.361628134,12.8987637239546,0.288949874201823,index
2023,650639.232229704,402642.199949489,1051383.61197501,13.3857105928168,0.244855003129818,index
2024,442185.783961445,267045.318717649,732191.331705507,12.9994853984524,0.257306637482134,index
2003,456330.114594683,279614.319483614,744730.004781461,13.0309717620963,0.249905234868283,index
2004,509772.144158243,302481.93949116,859117.867985264,13.141719128706,0.266301974073909,index
2005,621172.770850184,395136.172963028,976513.003991155,13.3393645361507,0.230809756488892,index
2006,298452.493539393,174268.238482253,511130.953498173,12.6063660485272,0.274502522060505,index
2007,427448.046387471,271493.4784541,672987.923690979,12.9655880310555,0.231583149994102,index
2008,559240.590478248,347578.292038653,899797.384365075,13.2343350539596,0.242652333547846,index
2009,564631.657991234,369412.824589543,863015.271763129,13.2439288647691,0.216462549628341,index
2010,601781.604719103,389550.945757962,929637.326572698,13.3076498756107,0.221891802840936,index
2011,594467.44469557,375736.34513868,940530.633714571,13.2954212327987,0.234074845122427,index
2012,601991.85490033,368194.509728355,984246.597358842,13.3079991941335,0.250837546737636,index
2013,914415.222665652,543719.852339382,1537841.95269876,13.7260400390338,0.26523478352657,index
2014,611790.469548475,383394.196756467,976247.376190968,13.3241451328536,0.238436095420375,index
